Section,Description,Code,Prescriptivity,Code Total,Pres. Total
1.0a,Place type,2,,categorical,
1.0b,Place type for townships,1,,categorical,
1.0f,Type of copy,2,,categorical,
1.0g,Plan update,1,,1,
1.0l,Consultant used for plan prep,1,,1,
1.0m,Consultant used for plan compilation,1,,1,
2.1a,Table of contents,1,,1,
2.1b,Glossary of terms,1,,1,
2.1c,Index,1,,1,
2.1d,Executive summary,1,,1,
2.1e,Sources in text/tables,1,,1,
2.1f,Source list provided,1,,1,
2.1g,Use / quality of maps[1],3,,3,
2.1h,"Use / quality of tables / figures (readability, clarity of purpose, etc.)",3,,3,
2.1i,Readability of text[2],2,,2,
2.2a,"Clear statement of goals, policies, and objectives",1,,1,
2.2b,Emphasis of clear values/goals/policies,5,,7,
3.0-1,Explanation of planning process provided,2,,2,
3.0-2,Discussion of the plan’s purpose,1,,2,
3.0-3,Definition of Master Plan,0,,2,
3.0-4,Relationship of the master plan to the zoning ordinance,2,,2,
3.0-5,Relationship of the master plan to other plans and ordinances,2,,2,
3.0-6,History of planning in the municipality,2,,2,
3.0-7,History of master plans in the municipaltiy,2,,2,
3.0-8,History of the municipality,2,,2,
3.0-9,History of the region,2,,2,
3.0-10,Reasons for new plan writing/updating effort,1,,2,
3.0-11,Explanation of who prepares the plan ,1,,2,
3.0-12,Explanation of how the plan is prepared ,2,,2,
3.0-13,Explanation of who will use the plan,1,,2,
3.0-14,Explanation of how they will use the plan ,1,,2,
3.0-15,Explanation of who will implement the plan and how,2,,2,
3.1-1,Description of public participation process,2,,2,
3.1-2,Usage of written and coordinated public participation plan,2,,2,
3.1-3,Purpose of public participation,2,,2,
3.1-4,PP at different stages in the planning process,2,,2,
3.1-5,Recommendations for public participation  in future.,2,,2,
3.1-6,Plan made available to public  (at various draft stages for comment),2,,1,
3.1-7,Regional community (public) involved in plan preparation,2,,1,
3.1-9,Newspaper,1,,1,
3.1-10,Newsletters,1,,1,
3.1-11,Fliers,0,,1,
3.1-12,Websites,0,,1,
3.1-13,Blogs,0,,1,
3.1-14,Automatic emails to subscription list,1,,1,
3.1-15,T.V./municipal cable channel,0,,1,
3.1-16,Community meetings,1,,1,
3.1-17,Social Networking Websites(e.g.facebook),1,,1,
3.1-18,Neighborhood associations and other groups,1,,1,
3.1-20,Public Hearings  ,1,,1,
3.1-21,"Surveys (mailed, emailed, on website)",1,,1,
3.1-22,Visioning sessions,1,,1,
3.1-23,Regional level advisory groups,1,,1,
3.1-24,Area and interest-specific workshops ,1,,1,
3.1-25,Focus groups,1,,1,
3.1-26,Charettes,0,,1,
3.1-27,Citizen advisory committee ,1,,1,
3.1-28,Interviews,0,,1,
3.1-29,Strength and Weakness Analysis (SWOT) / (SWAP),1,,1,
3.1-30,Visual community simulations and scenario development,0,,1,
3.1-31,Other Public Participation (PP) mechanisms used,1,,1,
3.1-32,Several stakeholder groups identified and involved,1,,1,
3.1-34,Minorities,1,,1,
3.1-35,Disabled,0,,1,
3.1-36,Seniors,1,,1,
3.1-37,Youth,1,,1,
3.1-38,Economically disadvantaged,0,,1,
3.1-40,Results from above PP mechanisms provided,1,,1,
3.1-41,"If yes, results tabulated or summarized in the plan itself",1,,1,
3.1-42,Results from above PP mechanisms discussed,1,,1,
3.1-43,Discussion of how public comments are incorporated in plan,1,,1,
4.0a,Summary of data collection and analysis process,1,,1,
4.0b,Equity Specific Analyses (excluding environmental justice and transportation justice),1,,3,
4.0c,Vulnerability assessments,3,,3,
4.0d,"Health implications (life expectancy, asthma rates, cancer rates, etc)",3,,3,
4.1a,Past plan implementation status,0,,1,
4.1b,Assessment of past plan implementation effectiveness,0,,1,
4.1c,"Current plans, policies, regulations",1,,1,
4.1d,Background studies / reports [discussed],1,,1,
4.1e,Background studies / reports [attached],,,1,
 4.2a,Present problems/threats identified in the jurisdiction,1,,1,
 4.2b,Trends re: development and/or land use change,1,,1,
4.2c,Trends/problems re: environment,1,,1,
4.2d,Population trend,3,,3,
4.2e,Existing land uses,1,,2,
  4.2f,Future land uses,2,,2,
4.2g,Zoning,1,,2,
4.2h,Build-out capacity,1,,1,
4.2i,Time to reach build out,1,,1,
4.2j,Population to reach build out,1,,1,
4.2k,Regional Context,0,,1,
5A.1.1a,Transit (availability of),1,,2,
5A.1.1b,Transit (access to),1,,2,
5A.1.1c,Transportation justice,1,,3,
5A.1.1d,Auto / Roadway system quality,2,,3,
5A.1.1e,Non motorized Transportation (availability of),3,,3,
5A.1.1f,Non motorized Transportation (access to),0,,3,
5A.1.1g,Walkability audit,3,,3,
5A.1.1h,"Regional, State and Interstate Roads",3,,3,
5A.1.1i,Inter-Modal connectivity,2,,3,
5A.1.1j,Intra-Modal connectivity,3,,3,
5A.1.1k,Transportation corridors,3,,3,
5A.1.1l,"Transportation facilities (e.g. train stations, park and ride lots)",2,,3,
5A.1.1m,"Traffic volume data (peak periods, average traffic) ",0,,3,
5A.1.1n,Environmental constraints to transportation infrastructure development,0,,3,
5A.1.1o,Transportation infrastructure capacity analysis,0,,3,
5A.1.1p,Traffic fatalities and accidents,3,,3,
5A.1.2,Drinking Water Supply,1,,2,
5A.1.2a,Wellhead protection (if groundwater DW source),,,2,
5A.1.2b,Sources Identified?,1,,2,
5A.1.2d,Stormwater management (quantity / system capacity),2,,2,
5A.1.2c,Stormwater hotspots,1,,2,
5A.1.3,Wastewater Management,1,,2,
5A.1.3a,Community Sewer Overflows (CSOs),0,,3,
5A.1.4,Solid Wastewater Management,0,,2,
5A.1.5,Schools,2,,2,
5A.1.6,Police and Fire Protection,2,,2,
5A.1.7,Recreational Infrastructure and Parks,2,,2,
5A.1.7a,Greenways / green spaces (trails),2,,2,
5A.1.7b,Active recreation facilities (soccer fields),1,,2,
5A.1.7c,Parks,2,,2,
5A.1.8,Housing Stock,2,,2,
5A.1.8a,"Affordable housing (present condition, supply, and future need) [19]",2,,2,
5A.1.8b,Gentrification,1,,2,
5A.1.8c,Vacancy Rate,1,,3,
5A.1.8d,Home ownership versus rental,1,,3,
5A.1.9,Community Facilities,1,,2,
5A.1.9a,Health Care Facilities,1,,3,
5A.1.10,Historic and Cultural Resources,2,,2,
5A.1.10.1,Historic Districts,2,,2,
